Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,926,18.7942,175.931,16.63653413,5
CE1,927,-52.0852,156.064,16.63431988,2
CE1,928,-25.5168,22.0844,16.62203523,3
CE1,929,-28.9511,-45.004,16.61994344,5
CE1,930,29.4364,60.153,16.61929917,2
CE1,931,-19.1253,178.127,16.61552606,5
CE1,932,-20.8252,10.0615,16.6084018,4
CE1,933,-7.12441,-173.099,16.60839369,5
CE1,934,-8.84947,-160.791,16.6069487,5
CE1,935,-43.3867,-122.806,16.60302737,5
CE1,936,-7.29706,105.248,16.59906479,5
CE1,937,-15.8181,105.57,16.59766377,2
CE1,938,-19.331,-146.662,16.59691933,5
CE1,939,-7.62299,-135.021,16.59489774,5
CE1,940,-26.964,38.9845,16.58811055,2
CE1,941,-24.5336,-135.64,16.58634034,5
CE1,942,-25.4079,34.6809,16.58233334,2
CE1,943,50.4549,129.869,16.58210237,5
CE1,944,-29.2092,28.6777,16.57862285,2
CE1,945,37.575,170.916,16.57774526,5
CE1,946,-40.6063,149.874,16.57515302,5
CE1,947,13.7368,-157.8,16.57102921,5
CE1,948,6.46332,-27.987,16.57001739,5
CE1,949,-56.2236,-146.073,16.56452814,5
CE1,950,-23.3357,-136.498,16.56416589,2
CE1,951,8.29226,-155.928,16.56225626,5
CE1,952,-13.7656,-170.241,16.56179539,5
CE1,953,16.8312,-145.059,16.55993996,5
CE1,954,58.9906,52.877,16.55679564,5
CE1,955,-18.4383,-165.768,16.55280111,5
CE1,956,-5.03089,7.40325,16.54821603,5
CE1,957,35.8992,-170.557,16.54313628,5
CE1,958,26.8199,-91.185,16.53970344,5
CE1,959,1.7156,149.536,16.53879683,5
CE1,960,-5.40025,32.628,16.5382268,5
CE1,961,-20.4237,61.571,16.53515982,3
CE1,962,26.0049,-106.548,16.53436172,5
CE1,963,39.2069,56.1048,16.53357741,2
CE1,964,-31.1972,-161.614,16.53287156,5
CE1,965,-55.3784,67.811,16.52096939,5
CE1,966,-58.3797,-41.163,16.51474196,2
CE1,967,-10.814,11.2409,16.50840773,3
CE1,968,-52.1836,-83.101,16.50771508,2
CE1,969,8.1082,67.7411,16.50608469,2
CE1,970,4.34096,141.525,16.49897113,5
CE1,971,-39.3106,124.504,16.49881776,1
CE1,972,16.9524,-135.934,16.49809006,5
CE1,973,-46.2243,79.2369,16.48382217,2
CE1,974,1.1622,-88.309,16.47904012,5
CE1,975,-23.0111,-61.951,16.47562051,5
CE1,976,24.8719,-105.28,16.4696621,5
CE1,977,-36.9552,13.2911,16.46906331,5
CE1,978,-47.8409,73.491,16.46759564,3
CE1,979,-11.5438,132.765,16.46647492,5
CE1,980,-34.1173,-6.493,16.46363881,5
CE1,981,-33.0671,139.058,16.46155214,2
CE1,982,40.7406,119.743,16.45642524,2
CE1,983,46.3127,158.886,16.44686835,2
CE1,984,-33.2975,-33.677,16.44210705,3
CE1,985,-37.5434,-32.316,16.43766549,5
CE1,986,51.877,135.776,16.43116546,2
CE1,987,-54.631,148.881,16.42579043,5
CE1,988,-4.8191,-134.986,16.42519036,5
CE1,989,-29.8783,-145.726,16.42332984,5
CE1,990,15.7516,167.773,16.41641447,5
CE1,991,-57.095,52.9124,16.41337942,2
CE1,992,-40.7119,37.0261,16.40842899,2
CE1,993,-58.7133,-37.996,16.4080837,3
CE1,994,-21.0658,-51.681,16.40702849,4
CE1,995,-63.4164,73.2355,16.40580105,5
CE1,996,-12.5453,142.661,16.40456563,5
CE1,997,63.8418,140.209,16.40445705,5
CE1,998,-52.8791,-128.658,16.40380056,2
CE1,999,-27.0271,46.9646,16.40229442,5
CE1,1000,-63.3286,70.4789,16.39951207,5
CE1,1001,45.2435,131.943,16.38686043,2
CE1,1002,-12.9379,-146.757,16.38424673,5
CE1,1003,45.4147,166.797,16.37882673,5
CE1,1004,9.61279,157.081,16.37762174,5
CE1,1005,3.75402,-172.686,16.37684444,5
CE1,1006,-53.7474,33.6521,16.37183371,3
CE1,1007,6.56705,-124.056,16.37160067,5
CE1,1008,59.2976,-118.313,16.37101063,3
CE1,1009,32.8825,85.7152,16.36742773,2
CE1,1010,-18.5272,72.6422,16.3654303,5
CE1,1011,-11.7166,-127.13,16.36279183,5
CE1,1012,-29.4191,-44.081,16.36134453,2
CE1,1013,-10.0562,-123.064,16.3546156,5
CE1,1014,-0.641997,-173.7,16.3535011,5
CE1,1015,34.1145,-158.185,16.35128649,5
CE1,1016,22.9429,74.8576,16.3495195,5
CE1,1017,22.5573,171.176,16.34730094,5
CE1,1018,17.2994,133.842,16.34572741,5
CE1,1019,29.1887,-160.19,16.34421645,5
CE1,1020,45.0975,64.2296,16.34246843,3
